mhz,zreal,zimag,zmag,zphase,vswr,s11,s11_real,s11_imag,s11_ang,gain_max,gain_net,gain_max_theta,gain_max_phi,gain_viewer,gain_viewer_net,fb_ratio
143.80000000000001,54.867747769279759,222.2854601065317,228.95697307582881,76.134577588678425,19.969442333041602,-0.87064634527070595,-0.87064634527070461,3.6386496045919063,24.002062442194433,7.6380313135185594,0.23055297854777468,15,85,-999.99000000000001,-1007.3974783349707,0.29661057228187371
143.88200000000001,55.240744638014753,223.08734690030573,229.82494254362319,76.092205666937829,19.978461125715828,-0.87025265500854543,-0.87025265500854476,3.6246487314598546,23.909706797194524,7.6361101633855819,0.22685785849344153,15,85,-999.99000000000001,-1007.3992523048921,0.28994135868472981
143.964,55.614833487577066,223.88916800509492,230.69323625512851,76.049885469567656,19.987561649051148,-0.86985575805235604,-0.86985575805235582,3.6107424054735819,23.817974824914803,7.6342381480375989,0.22319652716347438,15,85,-999.99000000000001,-1007.4010416208741,0.28335242323494442
144.04599999999999,55.990011105615878,224.69092593843277,231.56185683889578,76.007617491662742,19.99674392532151,-0.86945566269952246,-0.86945566269952301,3.5969296585445001,23.726860139435974,7.6324147647407807,0.21956849660251887,15,85,-999.99000000000001,-1007.4028462681383,0.27684299974076343
144.12799999999999,56.366274267186803,225.49262329615365,232.43080698509993,75.965402229904413,20.006007990203614,-0.86905237672941882,-0.86905237672941849,3.5832095349927884,23.636356436692182,7.6306395148374548,0.21597328045178532,15,85,-999.99000000000001,-1007.4046662343857,0.27041233088032196
144.20999999999998,56.743619735754947,226.2942627534735,233.30008944673395,75.923240182404356,20.015353892420148,-0.86864590742119008,-0.86864590742118963,3.569581091338097,23.546457493090408,7.6289119036773743,0.21241039395542316,15,85,-999.99000000000001,-1007.4065015097219,0.26405966806924586
144.29199999999997,57.122044264162518,227.09584706616252,234.16970704088695,75.881131848566838,20.024781693423442,-0.86823626156974687,-0.86823626156974709,3.5560433960933766,23.457157164150484,7.627231440548969,0.20887935395881829,15,85,-999.99000000000001,-1007.4083520865902,0.25778427132580639
144.37399999999997,57.501544595665401,227.89737907145181,235.03966264978408,75.839077728922803,20.034291467029025,-0.86782344550391233,-0.86782344550391011,3.5425955295659071,23.368449383192605,7.625597638609956,0.20537967891607511,15,85,-999.99000000000001,-1007.4102179596939,0.25158540913658267
144.45599999999996,57.882117464971124,228.69886168924461,235.90995922212556,75.797078324986316,20.043883299111982,-0.86740746510180489,-0.867407465101804,3.5292365836581112,23.280328160023391,7.6240100148245267,0.2019108888917005,15,85,-999.99000000000001,-1007.4120991259329,0.24546235833302255
144.53799999999995,58.26375959926947,229.50029792300896,236.7805997741186,75.755134139098004,20.053557287268386,-0.86698832580771212,-0.86698832580771223,3.5159656616765744,23.192787579676121,7.6224680898953379,0.19847250556387053,15,85,-999.99000000000001,-1007.4139955843315,0.23941440395822297
144.61999999999995,58.646467719398238,230.30169086103331,237.65158739089745,75.713245674262623,20.063313540506762,-0.86656603264762611,-0.86656603264762566,3.5027818781390625,23.105821801137729,7.620971388200994,0.19506405222725398,15,85,-999.99000000000001,-1007.4159073359738,0.23344083914362823
144.70199999999994,59.030238540855152,231.10304367735299,238.5229252275906,75.671413434007761,20.073152178948078,-0.86614059024438061,-0.86614059024438061,3.4896843585906909,23.019425056136196,7.6195194377354243,0.19168505379600997,15,85,-999.99000000000001,-1007.4178343839394,0.22754096498868343
144.78399999999993,59.41506877499824,231.90435963255186,239.39461651031695,75.629637922195016,20.083073333462355,-0.86571200283549243,-0.86571200283549354,3.4766722394239751,22.933591647953484,7.618111770043356,0.18833503681526054,15,85,-999.99000000000001,-1007.4197767332281,0.2217140904337665
144.86599999999993,59.80095513013206,232.70564207503179,240.26666453761095,75.587919642890341,20.09307714542658,-0.86528027428572185,-0.86528027428572118,3.4637446676970312,22.848315950226375,7.6167479201635242,0.18501352945641969,15,85,-999.99000000000001,-1007.4217343907071,0.2159595321462276
144.94799999999992,60.187894312783733,233.50689444199404,241.1390726816195,75.546259100177352,20.103163766393493,-0.86484540810345112,-0.8648454081034509,3.450900800957784,22.76359240578681,7.6154274265681794,0.18172006152626619,15,85,-999.99000000000001,-1007.4237073650419,0.21027661439980289
145.02999999999992,60.575883028742979,234.30812026009761,242.01184438893134,75.5046567980107,20.113333357793401,-0.86440740745559641,-0.86440740745559586,3.438139807077186,22.679415525561783,7.6141498311076399,0.17845416447451523,15,85,-999.99000000000001,-1007.4256956666331,0.20466466896338564
145.11199999999991,60.964917984394468,235.10932314676188,242.88498318210711,75.463113240044208,20.123586090662162,-0.86396627518135471,-0.86396627518135283,3.4254608640755055,22.59577988742743,7.612914678951471,0.17521537139280241,15,85,-999.99000000000001,-1007.4276993075587,0.19912303498264977
145.1939999999999,61.354995887924858,235.91050681077925,243.75849266051429,75.421628929451842,20.133922145312198,-0.86352201380836169,-0.86352201380836158,3.4128631599614478,22.512680135147818,7.6117215185345746,0.1720032170297161,15,85,-999.99000000000001,-1007.4297183015049,0.1936510588712366
145.2759999999999,61.746113450543504,236.71167505350905,244.63237650173261,75.380204368784021,20.144341711101518,-0.86307462556459436,-0.86307462556459447,3.4003458925669565,22.430110977285221,7.6105699015032586,0.16881723778649604,15,85,-999.99000000000001,-1007.4317526637168,0.18824809420132665
145.35799999999989,62.138267387824861,237.51283176971131,245.50663846264524,75.338840059779315,20.154844986124026,-0.86262411239361825,-0.86262411239362002,3.3879082693888343,22.34806718615539,7.609459382661802,0.16565697172859295,15,85,-999.99000000000001,-1007.4338024109333,0.18291350159487327
