mhz,zreal,zimag,zmag,zphase,vswr,s11,s11_real,s11_imag,s11_ang,gain_max,gain_net,gain_max_theta,gain_max_phi,gain_viewer,gain_viewer_net,fb_ratio
143.80000000000001,77.853780958491797,-31.479860374570897,83.97733514904661,-22.015745999666166,1.9378424337305558,-9.9179724086555598,-9.9179724086555581,-5.2551366147772018,-34.665090315639574,-25.698319813791926,-26.165105272928802,15,90,-999.99000000000001,-1000.4567854591369,2.2179531730725544e-14
143.88200000000001,78.4324149067007,-31.087542140529639,84.368708562096955,-21.621438220672108,1.9360663121152317,-9.9291848851341964,-9.9291848851341964,-5.1463175466790574,-33.947273996064062,-25.725126251868321,-26.190641257363065,15,270,-999.99000000000001,-1000.4555150054947,8.6789471989795746e-15
143.964,79.015746191051718,-30.697166745688822,84.76912287113349,-21.230864435383108,1.9347514062098283,-9.9375038444559003,-9.9375038444558985,-5.0374601112508905,-33.229204589450489,-25.751965449150216,-26.21654021378956,15,270,-999.99000000000001,-1000.4545747646393,1.3500584531745998e-14
144.04599999999999,79.603804489374568,-30.308788438064408,85.178567408509039,-20.84410493743302,1.9338940430840379,-9.9429364022851097,-9.9429364022851097,-4.928684390167553,-32.511674205007267,-25.778836847643241,-26.242798684646214,15,270,-999.99000000000001,-1000.453961837003,4.5323390928004254e-14
144.12799999999999,80.196619285218304,-29.922462569522821,85.597029802457186,-20.461237317779453,1.9334903394874148,-9.9454966893333285,-9.9454966893333268,-4.820109499586553,-31.795468582984515,-25.805739877670469,-26.269413146276971,15,270,-999.99000000000001,-1000.4536732686065,4.8216373327664331e-15
144.20999999999998,80.794219828422456,-29.538244962681432,86.024495773929573,-20.082336044799536,1.9335361930653772,-9.9452058126018912,-9.9452058126018876,-4.7118530056205001,-31.081363238884563,-25.832673955719702,-26.296379999335386,15,270,-999.99000000000001,-1000.4537060436157,8.6789471989795746e-15
144.29199999999997,81.39663512993306,-29.156192906913095,86.460949539665492,-19.707473064404311,1.9340273087798225,-9.9420915519215427,-9.9420915519215427,-4.6040304844614601,-30.370120561857313,-25.859638485885945,-26.323695587005659,15,270,-999.99000000000001,-1000.4540571011197,1.3500584531745998e-14
144.37399999999997,82.003893941305932,-28.776364751898548,86.906373701077072,-19.336717527243604,1.9349591971360516,-9.9361881961983691,-9.9361881961983691,-4.496754995828331,-29.662486341337733,-25.886632859060668,-26.351356189928769,15,270,-999.99000000000001,-1000.4547233308681,1.3500584531745998e-14
144.45599999999996,82.61602473564389,-28.398819538998449,87.360749163048752,-18.970135548429802,1.9363271753405507,-9.9275363246437269,-9.9275363246437252,-4.3901365823431346,-28.959186464721441,-25.913656452317362,-26.379358022591177,15,270,-999.99000000000001,-1000.4557015702738,1.3500584531745998e-14
144.53799999999995,83.23305569726601,-28.023618030229716,87.824055521300096,-18.607790839164075,1.9381263962180979,-9.9161823792341934,-9.9161823792341934,-4.2842819227028279,-28.260924629540192,-25.940708630124256,-26.407697250633024,15,270,-999.99000000000001,-1000.4569886205088,1.7357894397959133e-14
144.61999999999995,83.855014680648239,-27.650821239829604,88.296270602606668,-18.249743798903854,1.9403518303806448,-9.9021785033190817,-9.9021785033190799,-4.1792938042193404,-27.568378864114173,-25.967788741560348,-26.436369970050869,15,270,-999.99000000000001,-1000.4585812284905,1.3500584531745998e-14
144.70199999999994,84.481929219280801,-27.280492049700488,88.777371053018584,-17.896052513698191,1.9429983076265158,-9.885581980735985,-9.8855819807359815,-4.0752709028232896,-26.882200076364072,-25.994896123104816,-26.465372233745747,15,270,-999.99000000000001,-1000.4604761106409,8.6789471989795746e-15
144.78399999999993,85.113826478232454,-26.912693863145051,89.267331923487163,-17.546771938356681,1.9460605035900689,-9.8664549989216006,-9.8664549989215988,-3.9723073447167243,-26.203009162288289,-26.022030095738724,-26.494700032710664,15,270,-999.99000000000001,-1000.4626699369719,3.5680116262471476e-14
144.86599999999993,85.750733256494712,-26.547491598889327,89.766127042552128,-17.201954517252933,1.9495329701740896,-9.8448641197457789,-9.8448641197457771,-3.8704925183283319,-25.531395765540385,-26.04918996688221,-26.524349312976018,15,270,-999.99000000000001,-1000.4651593460939,1.3500584531745998e-14
144.94799999999992,86.392675937542904,-26.184950798109774,90.273728758419708,-16.861649660274711,1.9534101324000535,-9.8208799480990692,-9.8208799480990656,-3.7699107613187759,-24.867916212784781,-26.076375027834427,-26.554315963687596,15,270,-999.99000000000001,-1000.4679409358532,8.6789471989795746e-15
145.02999999999992,87.039680500148421,-25.825138882235546,90.790108381115346,-16.525904524931928,1.9576863230642678,-9.7945765573426993,-9.7945765573426975,-3.6706412885687936,-24.213093038675925,-26.103584556497825,-26.58459583734578,15,270,-999.99000000000001,-1000.471011280848,4.4359063461450975e-14
145.11199999999991,87.691772469369795,-25.46812359350271,91.315235739681754,-16.194763098149235,1.9623557696848082,-9.7660312062780328,-9.7660312062780292,-3.5727579022514417,-23.567413073372972,-26.130817814206239,-26.615184729788457,15,270,-999.99000000000001,-1000.4743669155822,1.3500584531745998e-14
145.1939999999999,88.348976902165035,-25.113974596642979,91.84907968891207,-15.868267194745568,1.9674126339586444,-9.7353237323959565,-9.7353237323959547,-3.4763290441761385,-22.931327787823054,-26.158074047616623,-26.646078402875631,15,270,-999.99000000000001,-1000.478004355259,1.3500584531745998e-14
145.2759999999999,89.011318362358125,-24.762762302103553,92.391607808477673,-15.546455777326404,1.9728510059343756,-9.7025362275330593,-9.7025362275330576,-3.3814176234876769,-22.305252157191582,-26.185352487186503,-26.677272571275672,15,270,-999.99000000000001,-1000.4819200840892,1.3500584531745998e-14
145.35799999999989,89.678820897378785,-24.414558286115589,92.942786561681473,-15.229365246835815,1.9786649239616738,-9.6677525624016507,-9.6677525624016472,-3.2880810376794951,-21.689564799474574,-26.212652347449147,-26.708762909665754,15,270,-999.99000000000001,-1000.4861105622166,1.3500584531745998e-14
145.43999999999988,90.35150801581635,-24.069435626122331,93.502581419403455,-14.91702967944839,1.9848483923047533,-9.6310579372642966,-9.6310579372642984,-3.1963712236947153,-21.08460831258262,-26.239972827243459,-26.740545058407886,15,270,-999.99000000000001,-1000.4905722311645,1.3500584531745998e-14
145.52199999999988,91.029402640818731,-23.727468313904868,94.070956717425048,-14.609480520882903,1.9913953844803609,-9.5925385310316269,-9.5925385310316251,-3.106334654806624,-20.490689253763193,-26.267313107935543,-26.772614617163484,15,270,-999.99000000000001,-1000.4953015092279,1.8322221864512419e-14
145.60399999999987,91.712527113738147,-23.388731668973698,94.647875827571582,-14.306746871553674,1.9982998618352981,-9.5522810747805522,-9.5522810747805522,-3.0180124631862211,-19.908078948107743,-26.294672354971386,-26.804967153118142,15,270,-999.99000000000001,-1000.5002947981468,1.7357894397959133e-14
145.68599999999986,92.400903140587204,-23.053302116088748,95.233301106555373,-14.008855405065503,2.0055557814140186,-9.5103725065232716,-9.5103725065232716,-2.9314405333560312,-19.337014105012322,-26.322049716254416,-26.837598198648188,15,270,-999.99000000000001,-1000.5055484823938,1.3500584531745998e-14
145.76799999999986,93.094551783632085,-22.721257659989899,95.827194060177959,-13.715830690511321,2.0131571135265878,-9.4668995887746696,-9.4668995887746679,-2.8466496860061961,-18.777698030705803,-26.349444323200654,-26.870503259065668,15,270,-999.99000000000001,-1000.511058935865,3.9537426128684593e-14
145.84999999999985,93.793493412423246,-22.392677132590357,96.429515168700902,-13.427694805000469,2.021097841617399,-9.4219486484784696,-9.4219486484784696,-2.7636657659370369,-18.230301208355986,-26.376855288927697,-26.903677805093118,15,270,-999.99000000000001,-1000.5168225161655,8.6789471989795746e-15
145.93199999999985,94.497747689159311,-22.06764100413185,97.040224122841224,-13.144467855187917,2.029371982828684,-9.3756052191542434,-9.3756052191542434,-2.6825099004352486,-17.694963002427599,-26.404281709419632,-26.937117283746456,15,270,-999.99000000000001,-1000.5228355743268,8.6789471989795746e-15
146.01399999999984,95.207333529208029,-21.746230796504467,97.659279700378178,-12.866167689966458,2.0379735891646704,-9.3279538155080406,-9.3279538155080388,-2.6031986374411713,-17.171792570091714,-26.431722662336206,-26.970817113253354,15,90,-999.99000000000001,-1000.5290944509171,4.8216373327664331e-15
146.09599999999983,95.922269069620867,-21.428529249280391,98.286639830915007,-12.592810051931929,2.0468967580509516,-9.2790776758499938,-9.279077675849992,-2.5257441700391254,-16.660870342058349,-26.459177206834973,-27.004772686258683,15,90,-999.99000000000001,-1000.5355954794237,8.6789471989795746e-15
146.17799999999983,96.642571652200687,-21.114620614042174,98.922261696878309,-12.324408797778322,2.056135643652345,-9.2290585229677564,-9.2290585229677546,-2.4501545818995139,-16.162249641615777,-26.486644384400115,-27.038979375074614,15,270,-999.99000000000001,-1000.5423349906745,1.7357894397959133e-14
