mhz,zreal,zimag,zmag,zphase,vswr,s11,s11_real,s11_imag,s11_ang,gain_max,gain_net,gain_max_theta,gain_max_phi,gain_viewer,gain_viewer_net,fb_ratio
143.80000000000001,197.02391927059051,242.2166745945384,312.22963058681773,50.874399575279021,10.05026700519671,-1.7342275951692165,-1.7342275951692165,2.1686750756653379,14.30549248744938,5.5921222087738043,0.76704268184034063,80,0,-10.976111670040467,-15.801191196973932,0.15391721920644311
143.88200000000001,197.57483013501039,242.80126669392587,313.0307790155037,50.863694490759293,10.072896791848951,-1.7303056269948336,-1.7303056269948345,2.1627572000659603,14.266455692182767,5.5825170727699467,0.74943578810817169,80,0,-10.980102170303041,-15.813183454964816,0.15443254741880552
143.964,198.12646026624597,243.38534400159958,313.83199316259856,50.852882889880661,10.095497420277754,-1.7264064352981303,-1.726406435298131,2.1568661320262583,14.227595730849389,5.5727541764954891,0.73169577557136822,80,0,-10.984063886164531,-15.825122287088652,0.15494900432778683
144.04599999999999,198.67880585401389,243.96891307261569,314.63327611905652,50.841966884590583,10.11806931784853,-1.722529758272622,-1.7225297582726209,2.1510017048339125,14.188911503744709,5.5628332999352681,0.71382216895621564,80,0,-10.987996712665101,-15.837007843644153,0.15546658778338721
144.12799999999999,199.23186316531829,244.55198056677662,315.43463110358886,50.830948567047059,10.140612915612436,-1.7186753368969463,-1.7186753368969452,2.1451637523522034,14.150401914961082,5.5527542155850416,0.69581448597092876,80,0,-10.991900546404509,-15.84884027601862,0.15598529565018315
144.20999999999998,199.78562854596254,245.13455324824599,316.23606146314569,50.819830009640839,10.163128648247541,-1.7148429149035076,-1.714842914903508,2.1393521090182515,14.112065872376151,5.5425166884223849,0.67767223729034143,80,0,-10.995775285541873,-15.860619736673916,0.15650512580810927
144.29199999999997,200.34009842196599,245.71663798492003,317.03757067315422,50.808613265003068,10.185616953989996,-1.7110322387493233,-1.7110322387493233,2.1335666098424317,14.073902287648989,5.5321204758767788,0.65939492654317444,80,0,-10.999620829795589,-15.872346379129194,0.15702607615321845
144.37399999999997,200.89526930116079,246.29824174840326,317.83916233834498,50.797300366056923,10.208078274594046,-1.7072430575824649,-1.7072430575824658,2.1278070904049979,14.035910076197837,5.5215653277994559,0.64098205028884259,80,0,-11.003437080442922,-15.884020357953535,0.15754814459841732
144.45599999999996,201.45113777467523,246.87937161334841,318.64084019301885,50.785893326012364,10.23051305526268,-1.703475123214004,-1.7034751232140031,2.1220733868548254,13.998088157191786,5.5108509864329234,0.62243309800411861,80,0,-11.007223940319573,-15.895641828748378,0.15807132907433019
144.53799999999995,202.00770051827857,247.4600347567816,319.44260810122069,50.774394138378874,10.252921744580219,-1.6997281900900698,-1.6997281900900698,2.1163653359092027,13.960435453549433,5.4999771863797413,0.60374755206827668,80,0,-11.010981313819187,-15.907210948130651,0.15859562752999207
